Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
MMM,3M Co,Industrials,144.83,2.72,18.72,7.74,19.79,134.00,170.50,89.17,8.50,2.96,7.45,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
ABT,Abbott Laboratories,Health Care,42.855,2.320,14.271,3.003,14.152,39.000,51.740,63.93,4.72,3.112,3.033,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
ABBV,AbbVie,Health Care,57.415,3.850,33.303,1.724,2.975,45.450,71.600,93.86,8.56,4.280,19.284,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV
ACN,Accenture Plc,Information Technology,102.6372,2.1100,21.6215,4.7470,9.4330,83.4700,109.8600,64.45,5.20,2.0623,10.8513,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
ACE,ACE Limited,Financials,113.51,2.29,13.87,8.19,89.88,96.00,119.86,36.80,3.61,1.96,1.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACE
ATVI,Activision Blizzard,Information Technology,36.66,0.59,24.97,1.47,10.93,18.43,39.93,26.81,1.60,5.56,3.40,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI
ADBE,Adobe Systems,Information Technology,91.24,0.00,73.58,1.24,14.05,68.98,96.42,45.47,1.24,9.60,6.57,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE
ADT,ADT Corp (The),Industrials,31.51,2.55,18.32,1.72,17.60,29.34,42.88,5.20,1.38,1.49,1.84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADT
AAP,Advance Auto Parts,Consumer Discretionary,148.26,0.16,21.76,6.81,32.96,142.63,201.24,10.85,1.29,1.11,4.59,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAP
AES,AES Corp,Utilities,9.42,4.60,11.19,0.84,5.29,8.76,14.02,6.34,3.86,0.41,1.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES
AET,Aetna,Health Care,110.546,0.920,16.952,6.521,45.508,88.260,134.400,38.55,5.22,0.644,2.434,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AET
AMG,Affiliated Managers Group,Financials,149.92,,15.75,9.52,49.24,141.68,230.63,8.10,0.9829,3.30,3.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMG
AFL,AFLAC,Financials,58.44,2.74,10.23,5.71,40.36,51.41,66.53,24.94,4.34,1.20,1.46,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL
A,Agilent Technologies,Health Care,40.71,1.10,33.92,1.20,12.57,33.12,43.59,13.52,0.781,3.34,3.23,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A
GAS,AGL Resources,Utilities,63.84,3.20,19.42,3.29,32.17,46.36,64.08,7.68,1.26,1.74,1.99,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GAS
APD,Air Products & Chemicals,Materials,124.285,2.490,21.137,5.880,33.660,123.660,158.200,26.77,2.83,2.762,3.769,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD
ARG,Airgas,Materials,138.34,1.74,28.58,4.84,26.64,86.09,139.22,9.97,0.97741,1.86,5.20,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARG
AKAM,Akamai Technologies,Information Technology,51.00,,28.02,1.82,17.31,50.56,78.44,9.07,0.6948799999999999,4.30,3.00,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM
AA,Alcoa,Materials,8.82,1.22,23.40,0.38,9.57,7.81,17.10,11.56,3.67,0.51,0.97,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AA
ALXN,Alexion Pharmaceuticals,Health Care,186.72,,168.52,1.11,36.52,142.02,208.88,42.07,0.90283,16.65,5.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALXN
ALLE,Allegion Plc,Industrials,63.70,0.61,52.56,1.21,0.15,52.33,68.08,6.11,0.4532,2.95,426.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALLE
AGN,Allergan plc,Health Care,306.90,0.10,28.21,10.88,184.12,237.50,340.34,120.96,7.64,6.20,1.68,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AGN
ADS,Alliance Data Systems,Information Technology,270.29,,36.57,7.39,31.87,241.91,312.00,16.52,1.61,2.71,8.60,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADS
ALL,Allstate Corp,Financials,60.12,1.93,10.46,5.74,48.10,54.12,72.87,23.28,4.49,0.66,1.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALL
ALTR,Altera Corp,Information Technology,53.96,1.33,,1.11,0.00,32.67,53.97,,0.00,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALTR
MO,Altria Group,Consumer Staples,59.03,3.88,22.21,2.66,1.47,47.31,61.74,115.58,8.74,6.12,39.72,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO
AMZN,Amazon.com,Consumer Discretionary,636.2915,,911.5924,0.6980,26.5030,285.2500,696.4400,298.27,7.01,2.9536,23.9139,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN
AEE,Ameren Corp,Utilities,43.61,3.93,16.35,2.67,28.91,37.26,46.81,10.58,2.16,1.78,1.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEE
AAL,American Airlines Group,Industrials,41.505,0.940,5.960,6.964,5.877,34.100,56.200,26.16,8.67,0.615,6.895,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAL
AEP,American Electric Power,Utilities,59.0464,3.8400,16.3745,3.6060,36.0610,52.2900,65.3800,28.98,5.28,1.6685,1.6308,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEP
AXP,American Express,Financials,65.345,1.670,11.795,5.540,21.660,65.020,91.810,64.32,0.00,2.063,3.059,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXP
AIG,American International Group,Financials,59.75,1.81,17.46,3.42,79.40,48.68,64.93,73.91,14.05,1.27,0.76,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIG
AMT,American Tower,Financials,98.3112,2.0200,73.5862,1.3360,15.6270,86.8300,104.1200,41.64,2.82,9.2045,6.3102,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMT
AMP,Ameriprise Financial,Financials,101.23,2.52,11.64,8.70,43.59,95.52,138.26,17.63,3.58,1.48,2.38,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMP
ABC,AmerisourceBergen Corp,Health Care,102.44,1.31,,-0.62,3.06,90.35,120.68,21.06,1.55,0.16,33.76,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABC
AME,AMETEK,Industrials,51.46,0.67,20.67,2.49,13.94,47.85,57.67,12.24,1.07,3.11,3.76,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AME
AMGN,Amgen,Health Care,157.52,2.46,18.80,8.38,37.05,130.09,181.81,118.82,10.36,5.56,4.27,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMGN
APH,Amphenol Corp A,Information Technology,49.23,1.07,20.59,2.39,10.20,47.44,60.54,15.18,1.29,2.79,4.93,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH
APC,Anadarko Petroleum,Energy,45.68,2.22,,-11.51,27.71,44.50,95.94,23.21,4.15,2.27,1.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APC
ADI,Analog Devices,Information Technology,53.11,2.89,24.14,2.20,16.26,50.56,68.97,16.57,1.29,4.91,3.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADI
ANTM,Anthem,Health Care,139.226,1.790,13.335,10.441,89.017,125.140,173.590,36.35,6.32,0.473,1.587,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANTM
AON,Aon Plc,Financials,90.15,1.30,20.63,4.37,21.48,86.38,107.08,24.69,2.51,2.14,4.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AON
APA,Apache Corp,Energy,39.47,2.25,,-54.96,25.95,35.79,71.87,14.92,5.78,1.90,1.68,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APA
AIV,Apartment Investment & Mgmt,Financials,40.38,3.00,30.00,1.35,9.22,34.71,41.55,6.32,0.55088,6.70,4.41,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIV
AAPL,Apple,Information Technology,101.445,1.980,11.003,9.220,21.395,92.000,134.540,565.59,82.49,2.450,4.801,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL
AMAT,Applied Materials,Information Technology,17.63,2.14,15.74,1.12,6.56,14.25,25.64,20.26,2.02,2.20,2.82,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMAT
ADM,Archer-Daniels-Midland,Consumer Staples,35.50,3.05,12.26,2.90,29.72,33.84,53.31,21.18,3.35,0.30,1.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADM
AIZ,Assurant,Financials,78.81,2.48,44.13,1.79,70.17,59.73,87.20,5.19,0.37417,0.51,1.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIZ
T,AT&T,Telecommunication Services,34.03,5.58,35.78,0.95,19.80,30.97,36.45,209.35,33.94,1.51,1.72,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=T
ADSK,Autodesk,Information Technology,59.71,0.00,,-1.24,7.69,42.06,65.78,13.45,0.1707,5.40,7.85,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADSK
ADP,Automatic Data Processing,Information Technology,81.539,2.500,25.853,3.154,9.992,64.290,90.670,37.61,2.31,3.423,8.234,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADP
AN,AutoNation,Consumer Discretionary,50.09,,12.44,4.03,20.41,47.91,67.50,5.54,1.01,0.31,2.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AN
AZO,AutoZone,Consumer Discretionary,737.22,,19.86,37.12,-58.74,569.54,803.25,22.27,2.26,2.16,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AZO
AVGO,Avago Technologies,Information Technology,135.03,1.21,27.82,4.85,17.06,96.53,150.50,37.33,2.84,5.57,8.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVGO
